"","id_num","Sex","Meat_g","Meat_inhouse_g","Meat_outhouse_g","Season_Wkdays_calib_weights_2rec"
"225",110122556,1,143.42947579,60,83.42947579,1986.209808
"226",110348851,1,166.75,166.75,0,2739.147091
"227",111328436,2,38.887500765,38.887500765,0,2212.614682
"228",111731243,1,65,65,0,8424.06352
"229",112051330,1,82.692480085,71.5,11.192480085,3398.661635
"230",112110369,1,483.405393585,77.27963255,406.125761035,3928.924
"231",112653419,2,100,100,0,5235.481489
"232",112757697,2,126.5,126.5,0,3835.730332
"233",113441608,1,244,107.5,136.5,2183.555735
"234",113839296,1,34,34,0,2215.55148
"235",114182630,2,183.49348066,75,108.49348066,4419.104797
"236",114369714,1,174,90,84,1986.209808
"237",114705973,1,134.25,40,94.25,2791.218535
"238",115095914,2,86,86,0,2255.888871
"239",115595030,2,0,0,0,1699.236144
"240",116876043,1,142.62340355,72.12340355,70.5,2244.913841
"241",116942945,2,127.23964691,34.98964691,92.25,898.6650535
"242",116980476,2,0,0,0,568.7897909
"243",117368867,1,74.5,74.5,0,3305.096376
"244",117821580,2,95.375,95.375,0,827.6519555
"245",117852190,2,120,120,0,4730.320843
"246",118418191,2,75,0,75,6125.22394
"247",118746097,1,0,0,0,3025.949747
"248",119078521,1,102.145781515,48,54.145781515,1507.254001
"249",119078556,2,116,56,60,2034.85651
"250",119284488,1,188.5,107.5,81,987.6737237
"251",119318244,2,8.300000487,8.300000487,0,2969.413057
"252",120101614,1,108.75,108.75,0,991.4850749
"253",120174320,1,8.48019123,8.48019123,0,1812.10234
"254",122083945,1,50,0,50,3276.947118
"255",122962845,1,139,77.5,61.5,2226.634833
"256",123279881,2,131.70000075,70.5,61.20000075,1066.08836
"257",124551947,2,52.574999988,0,52.574999988,1801.57356
"258",124558355,2,83.930597305,83.930597305,0,859.2943497
"259",125418717,1,236.08145905,236.08145905,0,701.411712
"260",126840219,1,89.4524710175,0,89.4524710175,1290.500728
"261",127031218,2,103.375,65,38.375,984.8100637
"262",128237169,1,217.339218135,12.277664185,205.06155395,6924.551956
"263",128256579,1,63.79217434,53,10.79217434,2130.171838
"264",128289101,2,0,0,0,1140.79045
"265",129461534,2,95.1874962,4,91.1874962,2525.158164
"266",129636278,1,107.20000075,0,107.20000075,3255.504417
"267",129879862,2,47.25,26.25,21,577.9861169
"268",130125619,1,62.98240471,62.98240471,0,1887.944608
"269",130298957,1,120.5,120.5,0,1460.78411
"270",130482336,2,69.2527086715,60.62815666,8.6245520115,2050.741912
"271",131009900,2,50,0,50,2010.513467
"272",131559270,1,141.25,141.25,0,860.4572623
"273",131933088,1,93.388889315,0,93.388889315,2660.573055
"274",131958145,2,212.0700035,152.0699997,60.0000038,3051.60261
"275",132043289,1,119.660880797,44.5,75.160880797,7812.837959
"276",132395819,2,88.51667024,88.51667024,0,970.1099612
"277",132701373,2,180.5,143,37.5,1168.899634
"278",132758988,2,110.75,110.75,0,1141.163891
"279",133121301,2,31.4060347085,31.4060347085,0,898.6650535
"280",133518323,2,52.48447035,52.48447035,0,1956.994925
"281",133588490,2,157.94431689,129.94431689,28,8038.890748
"282",133828490,1,157.0741119365,65.625,91.4491119365,2114.251878
"283",134194442,2,218.71875,150.21875,68.5,1068.089612
"284",135132001,2,125,0,125,2037.914483
"285",135213610,2,140.125,140.125,0,1334.937006
"286",135872561,2,142.7446556,91.5,51.2446556,1341.701726
"287",136777201,1,137.54565811,137.54565811,0,4355.980979
"288",137340685,1,183,104,79,1935.778185
"289",137779266,2,35.44292259,8.94292259,26.5,958.5181714
"290",138414129,2,81,2,79,1501.21771
"291",138794790,2,26.5,26.5,0,929.9285593
"292",139394032,2,137.571427345,50,87.571427345,3470.368405
"293",139574993,1,219,163.5,55.5,2971.832168
"294",139594113,1,56.00322151,0,56.00322151,1555.787483
"295",139732713,2,0,0,0,1305.505632
"296",140430454,1,0,0,0,1198.85005
"297",140975161,2,12.06521702,0,12.06521702,2745.403093
"298",141702130,1,174.625,40.625,134,1750.447966
"299",142011901,2,7.529839515,7.529839515,0,807.8398331
"300",142112895,1,76.5,8,68.5,1560.559444
"301",143392581,2,0,0,0,2808.53184
"302",145172189,2,67.671072484,24.671072484,43,2894.74438
"303",145877271,1,233.5,233.5,0,1544.12071
"304",145998295,2,0,0,0,1920.367149
"305",146157598,2,203.5,78.5,125,1610.859522
"306",146269842,2,33.911071778,13.911071778,20,1776.821948
"307",147076818,2,40.148147585,17,23.148147585,5979.525232
"308",147288248,2,104.5,104.5,0,1807.556449
"309",147882738,2,0,0,0,1288.79012
"310",149962134,2,93.125,65.625,27.5,1950.498041
"311",150950861,1,0,0,0,2356.969532
"312",152578806,2,143.116316795,105.5,37.616316795,1685.134401
"313",152780081,1,126,55.5,70.5,5019.39631
"314",152947970,2,63.1553287505,0,63.1553287505,1571.216467
"315",153179717,2,128,7,121,4306.559901
"316",154278560,2,188,43,145,1318.956768
"317",154353654,1,184.75,184.75,0,1261.135628
"318",154687679,1,150.75,150.75,0,7350.315043
"319",154718784,1,75.5,0,75.5,4070.394773
"320",155067925,1,346.75,140,206.75,2342.142096
"321",155744313,1,32.150654795,32.150654795,0,3132.488208
"322",156110065,2,80,34,46,1479.631683
"323",156840089,1,277.75,119,158.75,2590.714077
"324",157068585,1,291.85466385,235.60466385,56.25,6242.585308
"325",157146064,1,115.525000095,115.525000095,0,2765.430824
"326",157941808,1,297.5,197.5,100,2974.015858
"327",158304174,2,0,0,0,5302.169314
"328",158598018,1,87.125,42.125,45,2486.119773
"329",159985544,2,53.25,0,53.25,1626.374719
"330",160628561,1,96.103580475,60,36.103580475,797.0878587
"331",160803998,2,94.18951416,94.18951416,0,4250.524378
"332",161111369,1,125,0,125,3314.817579
"333",161545094,2,29.040480135,15,14.040480135,1361.637696
"334",161574034,2,143.000000475,95.500000475,47.5,1976.811997
"335",161772245,2,115.5,115.5,0,1256.101488
"336",161959490,2,13.5,13.5,0,2120.523637
"337",162711581,1,30.293916466,16.916666746,13.37724972,5132.826198
"338",164597738,2,94.5,94.5,0,900.986034
"339",165039782,1,231.04106331,178.125,52.91606331,3070.110626
"340",165538819,2,151.800001145,151.800001145,0,2541.813082
"341",166108313,1,199,144,55,1763.292198
