Domain Code;Domain;Area Code;Area;Element Code;Element;Item Code;Item;Year Code;Year;Unit;Value;Flag;Flag Description
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1978;1978;tonnes;21780;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1979;1979;tonnes;23100;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1980;1980;tonnes;23000;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1981;1981;tonnes;24300;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1982;1982;tonnes;24400;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1983;1983;tonnes;24500;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1984;1984;tonnes;25630;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1985;1985;tonnes;27500;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1986;1986;tonnes;27500;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1987;1987;tonnes;28710;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1988;1988;tonnes;31370;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1989;1989;tonnes;32460;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1990;1990;tonnes;31277;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1991;1991;tonnes;32639;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1992;1992;tonnes;33666;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1993;1993;tonnes;33076;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1994;1994;tonnes;34976;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1995;1995;tonnes;36619;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1996;1996;tonnes;37319;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1997;1997;tonnes;40774;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1998;1998;tonnes;40302;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;1999;1999;tonnes;42052;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;2000;2000;tonnes;45890;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;2001;2001;tonnes;46834;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;2002;2002;tonnes;51068;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;2003;2003;tonnes;53144;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;2004;2004;tonnes;56317;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;2005;2005;tonnes;54452;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;2006;2006;tonnes;48333;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;2007;2007;tonnes;58390;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;2008;2008;tonnes;62404;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;2009;2009;tonnes;63770;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;2010;2010;tonnes;67259;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;2011;2011;tonnes;71329;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;2012;2012;tonnes;74650;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;2013;2013;tonnes;78298;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;2014;2014;tonnes;83020;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;2015;2015;tonnes;85489;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1058;Meat, chicken;2016;2016;tonnes;89182;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1163;Meat, game;1961;1961;tonnes;1000;F;FAO estimate
QL;Livestock Primary;211;Switzerland;5510;Production;1163;Meat, game;1962;1962;tonnes;1000;F;FAO estimate
QL;Livestock Primary;211;Switzerland;5510;Production;1163;Meat, game;1963;1963;tonnes;1000;F;FAO estimate
QL;Livestock Primary;211;Switzerland;5510;Production;1163;Meat, game;1964;1964;tonnes;1000;F;FAO estimate
QL;Livestock Primary;211;Switzerland;5510;Production;1163;Meat, game;1965;1965;tonnes;1000;F;FAO estimate
QL;Livestock Primary;211;Switzerland;5510;Production;1163;Meat, game;1966;1966;tonnes;1000;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1163;Meat, game;1967;1967;tonnes;1100;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1163;Meat, game;1968;1968;tonnes;1000;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1163;Meat, game;1969;1969;tonnes;1100;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1163;Meat, game;1970;1970;tonnes;900;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1163;Meat, game;1971;1971;tonnes;1000;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1163;Meat, game;1972;1972;tonnes;1050;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1163;Meat, game;1973;1973;tonnes;1100;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1163;Meat, game;1974;1974;tonnes;1130;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1163;Meat, game;1975;1975;tonnes;1280;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1163;Meat, game;1976;1976;tonnes;1400;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1163;Meat, game;1977;1977;tonnes;1600;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1163;Meat, game;1978;1978;tonnes;1580;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1163;Meat, game;1979;1979;tonnes;1550;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1163;Meat, game;1980;1980;tonnes;1553;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1163;Meat, game;1981;1981;tonnes;1504;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1163;Meat, game;1982;1982;tonnes;1440;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1163;Meat, game;1983;1983;tonnes;1489;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1163;Meat, game;1984;1984;tonnes;1518;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1163;Meat, game;1985;1985;tonnes;1594;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1163;Meat, game;1986;1986;tonnes;1549;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1163;Meat, game;1987;1987;tonnes;1574;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1163;Meat, game;1988;1988;tonnes;1567;;Official data
